date,log_quantity,log_price,income
1960,5.590,3.45,605.0895
1961,5.800,3.45,620.9280
1962,6.150,3.37,657.1916
1963,6.330,3.40,683.6544
1964,6.580,3.39,719.6910
1965,6.970,3.34,763.0926
1966,7.380,3.24,808.4439
1967,7.870,3.20,830.3237
1968,8.030,3.11,868.4894
1969,8.540,3.05,893.1093
1970,8.880,2.99,891.5632
1971,9.160,3.07,921.3754
1972,9.580,3.17,973.7378
1973,9.680,3.21,1030.330
1974,9.330,3.70,1024.900
1975,9.270,3.83,1013.460
1976,9.790,3.94,1072.646
1977,9.690,4.30,1129.152
1978,10.14,4.38,1187.589
1979,9.250,4.69,1220.267
1980,8.980,5.26,1218.294
1981,8.920,5.50,1263.556
1982,8.580,5.93,1229.562
1983,8.410,6.33,1264.674
1984,8.540,6.32,1331.542
1985,8.680,6.10,1359.131
